model_type,split,n_months,pm25_mean_mean,pm25_mean_std
forecasting,train,252,90.82818237914253,39.13875655032403
forecasting,validation,36,109.34427534506642,62.59210571392098
forecasting,test,24,48.448785752912876,27.059666996836828
attribution,train,252,90.82818237914253,39.13875655032403
attribution,validation,36,109.34427534506642,62.59210571392098
attribution,test,24,48.448785752912876,27.059666996836828
