,pm25_mean,pm10_mean,no2_mean,so2_mean,co_mean,ozone_mean,aqi_mean
pm25_mean,1.0,0.9892591608911494,0.7919972924832583,0.87340065171166,0.44901039270153065,-0.1700013220596252,0.9939900371960756
pm10_mean,0.9892591608911494,1.0,0.7574960915505087,0.8710324769733143,0.38549634826425466,-0.2061732343145477,0.9799932884541601
no2_mean,0.7919972924832583,0.7574960915505087,1.0,0.5790801210433599,0.6111198202190365,0.008591833681238389,0.797073007091582
so2_mean,0.87340065171166,0.8710324769733143,0.5790801210433599,1.0,0.22533108552030584,-0.2742281183037549,0.8634028065390351
co_mean,0.44901039270153065,0.38549634826425466,0.6111198202190365,0.22533108552030584,1.0,0.20932526205184757,0.4745694298612642
ozone_mean,-0.1700013220596252,-0.2061732343145477,0.008591833681238389,-0.2742281183037549,0.20932526205184757,1.0,-0.15322447698805264
aqi_mean,0.9939900371960756,0.9799932884541601,0.797073007091582,0.8634028065390351,0.4745694298612642,-0.15322447698805264,1.0
