,PC1,PC2,PC3,PC4,PC5,PC6,PC7
pm25_mean,0.47642428352026645,0.026345229386778392,0.11599908842519407,-0.0688052375519384,-0.3999658015127892,-0.2730184080552033,0.7208496294054247
pm10_mean,0.4756213765255036,-0.037060903380963225,0.12651520981264178,0.01721161308809792,-0.39240468473640466,-0.36179320442162644,-0.6864639089746781
no2_mean,0.3008452542062943,0.5035415384637746,-0.3583188797111919,0.6369214906910299,0.3181281128586548,-0.14174985545679028,0.0240443234150672
so2_mean,0.4489257011715875,-0.07581312559940888,0.04269561749815888,-0.5153102217081208,0.7084662422384453,-0.15235797990481068,-0.014600480536160693
co_mean,-0.09641033783180755,0.7017893648880746,-0.3378456326970165,-0.5628410515078601,-0.241848942946817,0.05813932478555342,-0.07345693298263917
ozone_mean,-0.1467632052940392,0.49266995735860447,0.8413296661286519,0.07131533539164045,0.1304337443635117,-0.07593885201496048,-0.005976587980029349
aqi_mean,0.4732099580992681,0.05829843740437329,0.1354529409756694,0.04335969827933702,-0.08609376029366901,0.8614602487652971,-0.054038591152919875
