variable,change_year,p_value
pm25_mean,2009,0.020566234962011223
pm10_mean,2009,0.0654171277480116
no2_mean,2010,0.007096119514756339
so2_mean,2009,0.07470832113094007
ozone_mean,2019,0.0850950608658943
aqi_mean,2009,0.04323208521628202
