,pm25_mean,pm10_mean,no2_mean,so2_mean,co_mean,ozone_mean,aqi_mean
pm25_mean,1.0,0.9917548286001376,0.5711692742216926,0.8778132771971591,-0.17139282254354637,-0.21111252834914387,0.9619942780334622
pm10_mean,0.9917548286001376,1.0,0.530757356352843,0.8745511918498159,-0.25723002347199775,-0.252231439870074,0.9533725998289178
no2_mean,0.5711692742216926,0.530757356352843,1.0,0.4486208970689544,0.4306479808050267,0.008978637435219223,0.6123166383471746
so2_mean,0.8778132771971591,0.8745511918498159,0.4486208970689544,1.0,-0.22984446321213534,-0.30802836434299996,0.8768373958014554
co_mean,-0.17139282254354637,-0.25723002347199775,0.4306479808050267,-0.22984446321213534,1.0,0.3922140133700812,-0.162031322747453
ozone_mean,-0.21111252834914387,-0.252231439870074,0.008978637435219223,-0.30802836434299996,0.3922140133700812,1.0,-0.1684463316590972
aqi_mean,0.9619942780334622,0.9533725998289178,0.6123166383471746,0.8768373958014554,-0.162031322747453,-0.1684463316590972,1.0
