feature,partial_pearson_r,p_value,n
AOD,0.27233814974779236,6.337946905826988e-06,267
LST_C,0.21851553780239083,0.0002895315245816094,271
NO2,0.12325489868502837,0.2444372232450534,91
temperature,0.003732912600980783,0.9476390008429134,312
dewpoint,0.1092243795411093,0.05394060073183352,312
rainfall_mm,-0.006272112396294486,0.9121365650331934,312
pressure,0.14078686906177626,0.012802354553722972,312
wind_speed,-0.025082141928446572,0.6589740206523699,312
