feature,VIF
AOD,2.6410806458293816
LST_C,12.372689502943302
NO2,3.6460090998353145
temperature,33.979078799542016
dewpoint,47.85949930253511
rainfall_mm,8.700244455263109
pressure,29.569984653368063
wind_speed,3.631860236973237
month_sin,15.076556360508652
month_cos,50.613218830953066
